lokasi_uji;tahunuji;parameter;baku_mutu;tandabaca;hasil_uji;keterangan
5;2010;1;180;;32.25;Memenuhi
5;2010;2;365;;24.78;Memenuhi
5;2010;3;10000;;2672;Memenuhi
5;2010;4;2;;0.022;Memenuhi
5;2010;5;24;;0.64;Memenuhi
5;2010;6;235;;21.15;Memenuhi
5;2010;7;160;;41.16;Memenuhi
5;2010;8;2;<;0.2;Memenuhi
5;2010;9;230;;151.64;Memenuhi
5;2010;10;60;;68.5;Tidak Memenuhi
5;2010;11;-;;31.4 - 32.7;Memenuhi
5;2010;12;-;;0.6 - 1.2;Memenuhi
5;2010;13;-;;57.2 - 60.4;Memenuhi
5;2010;14;-;;Timur;Memenuhi
5;2010;15;-;;Cerah;Memenuhi
