lokasi_uji;tahunuji;parameter;baku_mutu;tandabaca;hasil_uji;keterangan
9;2010;1;180;;31.24;Memenuhi
9;2010;2;365;;19.72;Memenuhi
9;2010;3;10000;;1780;Memenuhi
9;2010;4;2;;0.018;Memenuhi
9;2010;5;24;;0.38;Memenuhi
9;2010;6;235;;17.65;Memenuhi
9;2010;7;160;;41.17;Memenuhi
9;2010;8;2;<; 0.2;Memenuhi
9;2010;9;230;;143.44;Memenuhi
9;2010;10;60;;63.4;Tidak Memenuhi
9;2010;11;-;;32.2 - 33.8;Memenuhi
9;2010;12;-;;0.5 - 1.1;Memenuhi
9;2010;13;-;;57.4 - 59.2;Memenuhi
9;2010;14;-;;Sltn - Brt;Memenuhi
9;2010;15;-;;Cerah;Memenuhi
