lokasi_uji;tahunuji;parameter;baku_mutu;tandabaca;hasil_uji;keterangan
15;2010;1;180;;39.60;Memenuhi
15;2010;2;365;;24.50;Memenuhi
15;2010;3;10000;;2870;Memenuhi
15;2010;4;2;;0.041;Memenuhi
15;2010;5;24;;0.68;Memenuhi
15;2010;6;235;;21.04;Memenuhi
15;2010;7;160;;53.70;Memenuhi
15;2010;8;2;<;0.2;Memenuhi
15;2010;9;230;;203.85;Memenuhi
15;2010;10;60;;64.9;Tidak Memenuhi
15;2010;11;-;;32.7 - 33.4;Memenuhi
15;2010;12;-;;0.5 - 0.9;Memenuhi
15;2010;13;-;;49.5 - 52.4;Memenuhi
15;2010;14;-;;Utara;Memenuhi
15;2010;15;-;;Berawan;Memenuhi
