lokasi_uji;tahunuji;parameter;baku_mutu;tandabaca;hasil_uji;keterangan
7;2010;1;180;;28.32;Memenuhi
7;2010;2;365;;21.37;Memenuhi
7;2010;3;10000;;3017;Memenuhi
7;2010;4;2;;0.044;Memenuhi
7;2010;5;24;;21.37;Memenuhi
7;2010;6;235;;23.84;Memenuhi
7;2010;7;160;;58.12;Memenuhi
7;2010;8;2;<; 0.2;Memenuhi
7;2010;9;230;;200.4;Memenuhi
7;2010;10;60;;66.2;Tidak Memenuhi
7;2010;11;-;;33.0 - 34.4;Memenuhi
7;2010;12;-;;0.5 - 1.1;Memenuhi
7;2010;13;-;;59.4 - 61.8;Memenuhi
7;2010;14;-;;Timur;Memenuhi
7;2010;15;-;;Berawan;Memenuhi
