lokasi_uji;tahunuji;parameter;baku_mutu;tandabaca;hasil_uji;keterangan
6;2010;1;180;;16.64;Memenuhi
6;2010;2;365;;13.67;Memenuhi
6;2010;3;10000;;1078;Memenuhi
6;2010;4;2;;0.026;Memenuhi
6;2010;5;24;;13.67;Memenuhi
6;2010;6;235;;18.16;Memenuhi
6;2010;7;160;;32.12;Memenuhi
6;2010;8;2;<;< 0.2;Memenuhi
6;2010;9;230;;97.66;Memenuhi
6;2010;10;60;;66.8;Tidak Memenuhi
6;2010;11;-;;31.8 -32.4;Memenuhi
6;2010;12;-;;0.5 - 1.3;Memenuhi
6;2010;13;-;;51.6 - 53.2;Memenuhi
6;2010;14;-;;Selatan;Memenuhi
6;2010;15;-;;Cerah;Memenuhi
