lokasi_uji;tahunuji;parameter;baku_mutu;tandabaca;hasil_uji;keterangan
8;2010;1;180;;24.08;Memenuhi
8;2010;2;365;;21.04;Memenuhi
8;2010;3;10000;;1865;Memenuhi
8;2010;4;2;;0.48;Memenuhi
8;2010;5;24;;18.64;Memenuhi
8;2010;6;235;;38.74;Memenuhi
8;2010;7;160;;38.74;Memenuhi
8;2010;8;2;<; 0.2;Memenuhi
8;2010;9;230;;142.58;Memenuhi
8;2010;10;60;;66.3;Tidak Memenuhi
8;2010;11;-;;34.1- 36.3;Memenuhi
8;2010;12;-;;0.2 - 0.9;Memenuhi
8;2010;13;-;;58.7 - 66.8;Memenuhi
8;2010;14;-;;Utara;Memenuhi
8;2010;15;-;;Berawan;Memenuhi
;;;;;;
