lokasi_uji;tahunuji;parameter;baku_mutu;tandabaca;hasil_uji;keterangan;
11;2010;1;180;;18.06;Memenuhi;
11;2010;2;365;;14.60;Memenuhi;
11;2010;3;10000;;1605;Memenuhi;
11;2010;4;2;;0.028;Memenuhi;
11;2010;5;24;;0.54;Memenuhi;
11;2010;6;235;;17.71;Memenuhi;
11;2010;7;160;;39.18;Memenuhi;
11;2010;8;2;<;< 0.2;Memenuhi;
11;2010;9;230;;60.48;Memenuhi;
11;2010;10;60;;60.48;Tidak Memenuhi;
11;2010;11;-;;71.5;Memenuhi;
11;2010;12;-;;3.4 - 33.2;Memenuhi;
11;2010;13;-;;60.9 - 68.7;Memenuhi;
11;2010;14;-;;Utara;Memenuhi;
11;2010;15;-;;Berawan;Memenuhi;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
