lokasi_uji;tahunuji;parameter;baku_mutu;tandabaca;hasil_uji;keterangan;
13;2010;1;180;;28.85;Memenuhi;
13;2010;2;365;;21.02;Memenuhi;
13;2010;3;10000;;2905;Memenuhi;
13;2010;4;2;;0.018;Memenuhi;
13;2010;5;24;;0.47;Memenuhi;
13;2010;6;235;;22.05;Memenuhi;
13;2010;7;160;;32.17;Memenuhi;
13;2010;8;2;<;0.2;Memenuhi;
13;2010;9;230;;45.63;Memenuhi;
13;2010;10;60;;64.7;Tidak Memenuhi;
13;2010;11;-;;33.8 - 35.1;Memenuhi;
13;2010;12;-;;1.2 - 2.6;Memenuhi;
13;2010;13;-;;47.3 - 50.4;Memenuhi;
13;2010;14;-;;Selatan ;Memenuhi;
13;2010;15;-;;Cerah;Memenuhi;
;;;;;;;
;;;;;;;
