lokasi_uji;tahunuji;parameter;baku_mutu;tandabaca;hasil_uji;keterangan;
10;2010;1;180;;29.74;Memenuhi;
10;2010;2;365;;25.02;Memenuhi;
10;2010;3;10000;;2615;Memenuhi;
10;2010;4;2;;0.019;Memenuhi;
10;2010;5;24;;0.51;Memenuhi;
10;2010;6;235;;28.42;Memenuhi;
10;2010;7;160;;61.74;Memenuhi;
10;2010;8;2;<; 0.2;Memenuhi;
10;2010;9;230;;112.70;Memenuhi;
10;2010;10;60;;65.2;Tidak Memenuhi;
10;2010;11;-;;32.8-33.7;Memenuhi;
10;2010;12;-;;0.4 - 1.1;Memenuhi;
10;2010;13;-;;53.1 - 54.7;Memenuhi;
10;2010;14;-;;Timur ;Memenuhi;
10;2010;15;-;;Cerah;Memenuhi;
;;;;;;;
