lokasi_uji;tahunuji;parameter;baku_mutu;tandabaca;hasil_uji;keterangan
2;2010;1;180;;34.17;Memenuhi
2;2010;2;365;;22.16;Memenuhi
2;2010;3;10000;;2740;Memenuhi
2;2010;4;2;;0.042;Memenuhi
2;2010;5;24;;0.76;Memenuhi
2;2010;6;235;;22.84;Memenuhi
2;2010;7;160;;58.15;Memenuhi
2;2010;8;2;<; 0.2;Memenuhi
2;2010;9;230;;154.76;Memenuhi
2;2010;10;60;;64.9;Tidak Memenuhi
2;2010;11;-;;30.8 - 32.7;Memenuhi
2;2010;12;-;;0.2 - 0.5;Memenuhi
2;2010;13;-;;58.4 - 60.1;Memenuhi
2;2010;14;-;;Utara;Memenuhi
2;2010;15;-;;Cerah;Memenuhi
