lokasi_uji;tahunuji;parameter;baku_mutu;tandabaca;hasil_uji;keterangan;
14;2010;1;180;;27.13;Memenuhi;
14;2010;2;365;;16.24;Memenuhi;
14;2010;3;10000;;2870;Memenuhi;
14;2010;4;2;;0.037;Memenuhi;
14;2010;5;24;;0.62;Memenuhi;
14;2010;6;235;;22.72;Memenuhi;
14;2010;7;160;;34.28;Memenuhi;
14;2010;8;2;<; 0.2;Memenuhi;
14;2010;9;230;;88.69;Memenuhi;
14;2010;10;60;;68.8;Tidak Memenuhi;
14;2010;11;-;;32.4-34.1;Memenuhi;
14;2010;12;-;;0.4 - 0.9;Memenuhi;
14;2010;13;-;;54.2 - 58.1;Memenuhi;
14;2010;14;-;;Utara;Memenuhi;
14;2010;15;-;;Berawan;Memenuhi;
