lokasi_uji;tahunuji;parameter;baku_mutu;tandabaca;hasil_uji;keterangan;
4;2010;1;180;;37.12;Memenuhi;
4;2010;2;365;;22.60;Memenuhi;
4;2010;3;10000;;3025;Memenuhi;
4;2010;4;2;;0.059;Memenuhi;
4;2010;5;24;;22.60;Memenuhi;
4;2010;6;235;;29.04;Memenuhi;
4;2010;7;160;;48.66;Memenuhi;
4;2010;8;2;<;0.2;Memenuhi;
4;2010;9;230;;243.85;Tidak Memenuhi;
4;2010;10;60;;63.7;Tidak Memenuhi;
4;2010;11;-;;31.9 - 32.7;Memenuhi;
4;2010;12;-;;0.2 - 0.9;Memenuhi;
4;2010;13;-;;52.7 - 60.1;Memenuhi;
4;2010;14;-;;Selatan;Memenuhi;
4;2010;15;-;;Cerah;Memenuhi;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
